CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 601948e7077f0d767811f4d7a7b08fcbcde09a38
uncommitted changes = True
seed = 42
engine_config_name = leela_local_1600_nodes.ini
data_config_name = fens_board_transformations.ini
address = 127.0.0.1
port = 50001
password = password
remove_pawns = False
num_positions = 50000
transformations = ['rot180']
result_subdir = 

fen,original,rot180
8/8/K6b/2bk2r1/4R3/8/7B/7B w - - 12 70,0.708,0.74
4R3/Q6K/8/4B3/8/1k6/4b3/1q4r1 w - - 20 63,-0.901,-0.892
8/8/1Q1KN3/8/1n4q1/5k2/5r2/1R6 w - - 14 69,0.879,0.885
3R4/2K5/8/5R2/1r1N4/k7/6n1/4r3 w - - 12 62,0.13699999999999998,0.106
8/kr6/8/K2N4/8/7b/R7/1n2B3 w - - 7 37,0.156,0.156
6k1/1b6/8/5QB1/n7/6q1/8/2N3K1 w - - 1 30,-0.09400000000000001,-0.184
8/K2k4/4r2R/5N2/8/8/5n1B/4b3 w - - 11 43,0.08499999999999999,0.09999999999999999
Q7/1N6/3K4/Bb2n3/4q3/8/8/2k5 w - - 19 61,-0.132,-0.065
3N4/8/8/1k3n2/r6n/5RK1/2N5/8 w - - 6 53,-0.13899999999999998,-0.156
6Q1/8/N7/1N5K/8/3k4/7n/4nq2 w - - 2 67,0.20099999999999998,0.12200000000000001
3q4/8/1n5R/1Q3K1N/8/2r5/k7/8 w - - 6 51,0.098,0.068
1N6/4n1b1/8/B7/6K1/k1r5/8/3R4 w - - 3 61,0.139,0.125
6r1/1k6/6b1/K7/3R4/R7/7r/B7 w - - 8 35,0.061,0.069
8/4n2K/4n3/N6k/8/8/4qNQ1/8 w - - 13 50,0.066,0.043
1n4N1/3k4/6K1/8/8/4q3/1B5b/5Q2 w - - 14 68,0.094,0.09599999999999999
2R5/4r3/R7/8/7K/Nk6/5nr1/8 w - - 14 67,-0.149,-0.133
8/8/2N1bk2/3K3B/8/b7/B7/n7 w - - 4 51,-0.104,-0.13
8/2QR4/5q1k/3B4/8/3b2K1/4r3/8 w - - 6 62,0.088,0.14100000000000001
4q3/5r2/4b3/6k1/R5B1/2K5/8/Q7 w - - 14 55,0.08800000000000001,0.10500000000000001
6N1/2N3K1/8/3R3n/5nk1/8/r7/8 w - - 8 41,-0.20099999999999998,-0.168
k7/3b4/8/B4K2/R7/R7/2r3r1/8 w - - 2 52,-0.12200000000000001,-0.094
2r2n1N/n7/1R6/5N2/8/k7/7K/8 w - - 9 66,0.154,0.154
4b2q/b7/k1B5/8/6K1/8/3Q4/7B w - - 1 41,0.181,0.33799999999999997
1n6/8/8/7r/5q2/3Q4/4R3/N1K3k1 w - - 4 44,0.105,0.097
8/6K1/5R2/N5b1/3k4/6B1/2n5/2r5 w - - 2 40,0.078,0.064
8/1n6/4K3/1q6/3b4/6QB/k7/5N2 w - - 17 57,-0.117,-0.11900000000000001
3r4/5n1k/8/5N2/6N1/1R4K1/8/5n2 w - - 6 48,0.094,0.10200000000000001
R7/5Bb1/1B6/3K4/2r5/1k6/1b6/8 w - - 3 41,0.10400000000000001,0.068
8/3k2n1/4b3/8/7B/1q6/6N1/K1Q5 w - - 10 49,-0.13599999999999998,-0.13999999999999999
2N3b1/8/8/4r3/7k/7n/8/1B1R2K1 w - - 11 62,-0.065,-0.1
7n/8/6n1/k7/3K4/7N/6B1/N1b5 w - - 6 40,0.115,0.136
5K2/1N6/2n2q2/8/n1k5/8/7N/1Q6 w - - 4 37,-0.138,-0.081
8/3B3b/8/4b3/4k3/6r1/BK3R2/8 w - - 12 45,-0.09999999999999999,-0.158
B4Q2/4N3/b2q4/6n1/K1k5/8/8/8 w - - 12 39,0.093,0.054000000000000006
8/N3B3/8/4b3/8/3n4/2N2k1K/6n1 w - - 3 53,-0.09499999999999999,-0.13799999999999998
2K2B2/BQ6/8/1b6/6k1/1q6/8/5b2 w - - 5 45,0.060000000000000005,0.062
k4b2/5KN1/8/1Bq5/7n/3Q4/8/8 w - - 1 52,0.066,0.102
8/5K1b/1k6/8/3n1N2/6B1/8/1b3B2 w - - 6 34,0.087,0.174
bk6/7q/3b4/8/8/6K1/Q2B2B1/8 w - - 14 59,-0.074,-0.06199999999999999
8/5N2/3R4/6N1/8/8/2r4n/1n2k1K1 w - - 14 45,0.122,0.112
b4B2/2K4k/3R4/7r/8/8/6r1/5R2 w - - 1 43,0.092,0.115
6R1/1r6/8/2k1N3/5r1n/3R4/5K2/8 w - - 14 56,0.115,0.156
4B3/8/8/B2K2q1/8/3b4/k7/5b1Q w - - 10 43,-0.20299999999999999,-0.128
8/3q4/8/1N5B/2Q4K/8/8/b2n3k w - - 9 49,0.04999999999999999,0.05299999999999999
3R4/4n2K/7N/8/8/4k3/r7/4Bb2 w - - 1 59,0.12799999999999997,0.146
4B1Q1/4q3/N7/5n2/1b6/3k4/1K6/8 w - - 14 47,0.126,0.149
5R2/1KN5/6kr/7r/8/8/2R5/6n1 w - - 4 30,0.854,0.843
5n1r/2k3b1/8/8/KN3R2/5B2/8/8 w - - 7 34,0.333,0.372
2n5/2N2n2/2KQ4/6q1/2k5/8/8/5N2 w - - 0 43,0.224,0.20900000000000002
7r/K1b4n/1R1N4/8/3k4/B7/8/8 w - - 0 67,0.355,0.334
8/4b1K1/8/5B2/R3N2k/8/8/4r2n w - - 2 42,0.391,0.34099999999999997
3K4/8/4B1b1/8/2R5/7Q/5q2/1k3r2 w - - 6 32,0.857,0.873
3N4/7k/8/KB6/8/8/2R1b1r1/1n6 w - - 9 62,0.824,0.823
2r5/6k1/2N5/3n4/7q/8/8/2R1KQ2 w - - 10 41,-0.835,-0.861
nN3Q2/3K4/8/8/7k/2q5/7r/1R6 w - - 13 43,0.865,0.869
2q1R3/8/2r3Q1/3R3K/8/r7/k7/8 w - - 4 62,1.0,1.0
8/5KB1/1r2b3/8/3N4/8/5k1n/R7 w - - 10 33,0.672,0.626
2n4k/8/3R2Q1/8/8/8/1q1r4/1N5K w - - 0 69,0.98,0.963
3r4/6NK/5q2/8/2Rn4/6k1/2Q5/8 w - - 13 56,0.946,0.944
6r1/8/2k4q/8/1K3R1b/8/2B4Q/8 w - - 4 39,0.912,0.89
8/8/7r/5B2/b3K1n1/7k/8/1R1N4 w - - 5 48,0.637,0.625
3k3b/8/2B3r1/RK6/8/8/2R5/3r4 w - - 4 38,0.629,0.62
5K2/8/1Q6/7r/3Nk3/7q/6n1/3R4 w - - 21 66,0.725,0.704
3N4/6r1/3K4/6k1/8/1B6/2R5/4bn2 w - - 13 47,0.866,0.898
br6/8/8/1NR5/1B6/8/4K1n1/7k w - - 7 55,0.859,0.868
2kr4/8/3B2R1/2r5/1b6/8/4K3/R7 w - - 11 40,0.963,0.942
2Q2N2/B3k3/8/4b1q1/8/6n1/2K5/8 w - - 13 68,0.865,0.877
1NK3q1/8/8/2R5/n5r1/5k2/8/2Q5 w - - 15 55,-0.73,-0.75
3k3n/1K6/7q/N6b/8/2Q5/8/B7 w - - 2 33,0.662,0.676
4k1B1/8/8/1K1n2b1/1Q6/2N5/6q1/8 w - - 8 34,0.677,0.74
8/2B5/1KB2r2/7b/1R3b2/8/7k/8 w - - 12 46,0.866,0.883
3NR3/8/1K6/8/6Q1/2qn4/r2k4/8 w - - 1 48,0.875,0.851
k7/3KB3/8/8/7R/N7/n1br4/8 w - - 0 52,0.939,0.948
7B/k6n/5R2/r7/b1K4N/8/8/8 w - - 3 61,0.512,0.5609999999999999
8/8/5rn1/3b4/RB4k1/8/2NK4/8 w - - 5 67,0.537,0.548
5B1n/1RN5/8/2K1k2b/8/7r/8/8 w - - 9 63,0.539,0.568
8/8/B7/Q7/N7/K7/5k1q/5b1n w - - 13 68,0.479,0.536
rr6/8/8/R1N4k/K3R3/8/8/5n2 w - - 12 64,0.63,0.553
3r4/7R/3b1r2/4KBk1/8/3R4/8/8 w - - 3 49,-0.639,-0.669
7r/2q4n/4K1R1/k4N2/8/8/8/1Q6 w - - 2 37,0.896,0.896
7K/1r6/4n2N/8/RB1b4/7k/8/8 w - - 14 50,-0.895,-0.909
b2k4/4N3/8/6BQ/8/6q1/8/1n4K1 w - - 1 45,-0.744,-0.754
2r2q2/4k3/8/4n3/3RN3/7Q/K7/8 w - - 9 48,0.84,0.853
3N4/3K4/k4b2/7B/8/3R4/2r4n/8 w - - 1 67,0.797,0.808
7R/5B2/n5N1/1rk5/3b4/8/8/1K6 w - - 16 53,-0.883,-0.878
n2KQ2N/8/8/1R2r3/2k5/6q1/8/8 w - - 3 36,0.93,0.963
2k5/7r/5b2/R6n/8/8/N3B3/1K6 w - - 6 30,0.527,0.459
2n5/1k6/7B/8/5N1R/5K1b/8/7r w - - 0 64,0.474,0.527
8/8/5k2/6r1/2q2b2/6Q1/7K/3B2R1 w - - 0 32,-0.99,-0.969
2n1K3/8/2n5/8/7N/2N4R/r7/k7 w - - 7 36,0.884,0.916
2K4r/N5Q1/k7/8/2R5/8/8/3n3q w - - 7 57,-0.834,-0.875
8/1RN5/8/K3k3/1Q6/n7/6r1/q7 w - - 3 63,0.758,0.757
1r6/8/1b4R1/6K1/5N2/6n1/7k/4B3 w - - 15 48,0.13599999999999998,0.097
4R3/R7/5r2/1k6/1n6/8/N4r2/2K5 w - - 8 33,0.096,0.071
Q7/3B4/5KR1/8/8/8/2k3r1/1b3q2 w - - 11 69,0.13199999999999998,0.10600000000000001
8/2R4K/b4r2/8/8/2N5/4n3/2k1B3 w - - 14 52,0.13199999999999998,0.12
3k4/3r4/n2r4/2K2R2/8/NR6/8/8 w - - 6 53,-0.081,-0.064
7Q/7B/3n4/2q2b2/8/3k4/5K1N/8 w - - 22 69,-0.13,-0.144
2k5/8/r7/3q4/n4Q1N/8/8/4K1R1 w - - 17 59,0.064,0.11399999999999999
8/8/5B1k/6b1/8/6KB/q3b3/5Q2 w - - 3 69,0.055999999999999994,0.091
2R4R/8/8/3rr3/b7/8/8/1K1k3B w - - 15 53,0.174,0.153
1B5n/8/1K6/5Q2/q7/8/3b4/3k3N w - - 1 44,0.08600000000000001,0.076
4K1k1/8/6n1/7N/3q4/2n3N1/8/Q7 w - - 5 47,-0.14300000000000002,-0.101
2n5/8/4bNK1/2B3Q1/8/8/1k6/1q6 w - - 7 40,0.13899999999999998,0.128
1r3b2/4r3/2B5/K7/6k1/8/8/5R1R w - - 0 32,0.106,0.114
6B1/5KR1/b3N3/4n3/8/7r/k7/8 w - - 9 46,0.113,0.081
R3NK2/8/3r4/2b5/8/n4k2/8/5B2 w - - 12 48,0.209,0.13
8/8/N1B5/8/2K5/3R4/1b2k2n/2r5 w - - 2 37,-0.146,-0.235
1r2k3/3b4/1K6/8/8/2N5/1B4n1/5R2 w - - 11 38,-0.177,-0.16799999999999998
8/6R1/8/3r3b/1B6/8/6N1/1n2K2k w - - 17 67,0.10399999999999998,0.064
8/6n1/2N5/3B4/4K3/5R2/3br3/k7 w - - 9 66,0.201,0.119
8/3R4/1k2r2n/8/5b2/K4B2/3N4/8 w - - 17 55,0.114,0.14200000000000002
5r2/7K/k1n5/1N6/8/1R2N3/8/7n w - - 7 36,0.125,0.16999999999999998
5Q2/6K1/q7/8/8/4B2n/3N4/3k1b2 w - - 0 49,0.121,0.113
8/1N6/QB6/8/4q3/7K/1b4n1/4k3 w - - 0 48,-0.113,-0.12300000000000001
1b4N1/2k2n2/8/8/6R1/2K5/4r3/7B w - - 18 70,0.08199999999999999,0.094
5B2/8/R2n4/3k4/7b/8/K7/1Nr5 w - - 6 34,0.169,0.138
5Q1B/8/1b6/6N1/6n1/8/6q1/K3k3 w - - 7 45,0.223,0.159
6r1/k7/8/2N5/2N5/8/n1K1n3/2R5 w - - 12 42,0.099,0.146
8/5B1b/8/R5R1/2r5/1k2K2r/8/8 w - - 3 54,0.122,0.11599999999999999
7K/6B1/7R/8/b5B1/rk4b1/8/8 w - - 2 44,0.143,0.107
1k5r/4B3/2b5/RbK5/2B5/8/8/8 w - - 1 31,0.127,0.11699999999999999
8/3r4/2R5/7K/3B1b2/6k1/1Q1q4/8 w - - 10 66,0.175,0.118
1n6/4B3/r7/2RK3N/8/8/b7/7k w - - 4 65,0.145,0.109
8/2K5/q4N2/4Q3/8/3k4/5n2/1Nn5 w - - 13 43,0.131,0.109
7Q/5qr1/8/2N1K3/4R3/8/2n3k1/8 w - - 7 36,0.09599999999999999,0.07400000000000001
4N3/8/8/3K3B/8/2b1n2Q/3kq3/8 w - - 16 67,-0.108,-0.13
1b2B3/k6r/8/8/5n2/8/8/2R2N1K w - - 22 69,-0.111,-0.155
1k4b1/7r/1b3BB1/8/8/8/6R1/1K6 w - - 12 48,0.105,0.119
7K/8/7n/1Q6/1N5b/6q1/B7/k7 w - - 3 64,0.087,0.105
3R4/8/B7/8/8/2K3k1/7q/Q2b3r w - - 0 31,0.07800000000000001,0.14700000000000002
8/5k1q/8/8/8/b1K1N1Q1/2n4B/8 w - - 12 46,0.11599999999999999,0.17099999999999999
3K4/1q4n1/1b6/8/8/BQ1N4/8/5k2 w - - 6 31,-0.969,-0.969
N2b3K/4n3/8/2R5/8/8/2B5/2kr4 w - - 9 34,0.849,0.857
5K2/8/b2B1kN1/8/8/8/n5Q1/1q6 w - - 5 32,1.0,0.91
8/3B4/n1N2k2/K2Q4/8/8/4q3/6b1 w - - 4 34,0.908,0.92
3K4/8/2k4b/5B2/4N1R1/1r6/8/1n6 w - - 8 35,0.756,0.668
3R4/1K6/6r1/4N2k/5b2/8/6n1/B7 w - - 7 54,0.972,0.967
7N/4r2K/2R5/8/3k1q2/8/2Q2n2/8 w - - 0 58,-0.858,-0.854
8/R1Q2K2/5N2/2q3r1/8/8/8/2n2k2 w - - 18 70,0.778,0.792
8/1R6/N1K5/7r/4n3/8/1Q1q4/4k3 w - - 7 37,0.75,0.789
8/8/8/5R1K/nr6/n6k/8/N2N4 w - - 4 40,0.385,0.407
1n2q3/3r4/8/8/8/2k1K2Q/R7/7N w - - 7 51,0.897,0.893
2k5/8/8/3r1bR1/1K4B1/B7/8/3b4 w - - 17 63,0.889,0.889
4n3/4b1r1/1K6/8/8/5R2/NB5k/8 w - - 11 61,0.854,0.863
2K2R2/q7/6b1/8/4r1k1/8/8/1Q2B3 w - - 8 34,0.879,0.893
4r3/8/5q2/3R4/1k6/1r4QK/8/3R4 w - - 9 39,0.921,0.908
1q6/k4K2/7b/8/8/N6n/4B3/Q7 w - - 8 36,1.0,1.0
8/R7/2kr4/8/2N5/5K1q/8/Q6n w - - 4 43,-0.876,-1.0
8/2bk4/1B6/1RQ5/8/1r3q2/8/3K4 w - - 11 42,-0.955,-0.949
r7/4K1b1/3R3N/5B2/8/3n4/2k5/8 w - - 12 53,0.667,0.656
6q1/2r5/3Nn2k/8/8/4K3/3QR3/8 w - - 15 58,0.905,0.902
8/4k3/1R4B1/4b1N1/3r4/8/1K6/6n1 w - - 4 39,0.7,0.7
8/4KB2/2r2b2/1R6/8/3k4/5Q2/7q w - - 11 41,0.593,0.574
6KQ/N7/Nn3n2/5q2/8/8/5k2/8 w - - 6 37,-0.693,-0.637
2b3K1/5N2/2B2R2/8/6k1/5n2/7r/8 w - - 6 34,0.46,0.518
7r/3q4/4k3/R4n2/8/8/5NK1/2Q5 w - - 1 43,0.712,0.651
2n5/n2N4/1R1K4/8/8/8/4r1k1/1N6 w - - 11 45,-0.176,-0.187
2b5/4r3/1B3R2/1N6/6K1/8/3n4/7k w - - 3 59,-0.309,-0.364
8/N4K2/3k4/6r1/3N4/1n1R4/3n4/8 w - - 8 57,0.191,0.193
8/8/2B5/3R4/1b6/1k6/1r1R4/K4r2 w - - 11 47,-0.14900000000000002,-0.143
1b3B2/8/B7/7b/2R5/8/6r1/1K4k1 w - - 2 47,0.212,0.182
5k2/1r6/4R3/5q2/7n/3K4/Q1N5/8 w - - 11 38,-0.16899999999999998,-0.175
4k2B/8/1K6/1R6/8/8/7R/r4r1b w - - 12 64,0.204,0.216
8/1N5k/1K3R2/n7/8/6N1/6n1/r7 w - - 8 60,0.262,0.324
8/1n6/7B/1q6/2k5/6N1/b5K1/3Q4 w - - 1 70,0.258,0.264
8/3R4/8/2B2K2/2bN4/3k4/5r2/1n6 w - - 3 32,0.19599999999999998,0.15699999999999997
6RQ/2r5/8/n7/2qN4/8/8/3k1K2 w - - 15 60,0.26799999999999996,0.261
7r/4R2b/8/3B4/8/6n1/3NK2k/8 w - - 10 66,0.16,0.204
1R6/8/2K5/1R6/8/6N1/3r1n2/6kr w - - 4 44,0.174,0.168
8/k7/8/6n1/4r1b1/K2R2B1/3N4/8 w - - 1 44,0.267,0.236
2b1N1K1/8/8/8/R7/8/2kr2nB/8 w - - 15 54,0.284,0.247
3k4/2n5/5b2/8/8/2r5/3NK3/3R1B2 w - - 3 46,0.34299999999999997,0.291
2k5/8/R7/1rr5/6RQ/7K/8/5q2 w - - 9 70,-1.0,-1.0
8/7Q/4q3/4n3/5b2/K1B5/4k3/N7 w - - 7 38,0.254,0.24400000000000002
8/B7/1R6/3k4/K7/5b2/4q2r/2Q5 w - - 7 35,0.944,0.946
3qr3/4n1Q1/K7/8/2k5/R7/6N1/8 w - - 12 58,1.0,1.0
3k4/6b1/n7/2K4Q/B6N/8/1q6/8 w - - 6 33,-0.223,-0.27399999999999997
4n1R1/B7/8/7b/6N1/2r3k1/8/1K6 w - - 6 36,0.23299999999999998,0.228
8/2k5/5NQ1/8/8/b3B2q/1n1K4/8 w - - 0 41,0.387,0.383
8/6N1/R7/8/1k6/1n6/1B6/3K2rb w - - 6 31,-0.302,-0.329
4N1R1/5K2/k7/8/5r1n/8/6B1/5b2 w - - 9 51,-0.324,-0.27999999999999997
8/1q6/4B3/3b4/8/1B2Q3/K3b3/4k3 w - - 3 62,0.275,0.227
7k/N6b/7K/B7/b7/8/5nB1/8 w - - 13 45,0.23299999999999998,0.248
8/8/1n1k4/3r4/4K1r1/2NR4/3R4/8 w - - 7 67,0.862,0.874
5r2/8/1k6/2rn4/2R5/7N/2RK4/8 w - - 10 45,0.952,0.911
3BK3/8/5r2/7R/7B/5k2/6b1/b7 w - - 7 54,0.945,0.98
3n4/1k2NK2/2nq4/8/8/7N/Q7/8 w - - 0 61,-0.833,-0.786
b1q5/5K2/8/kB2Q3/8/8/8/3b2B1 w - - 12 40,0.945,0.968
4k3/8/b5K1/6R1/2r5/3B1Q2/7q/8 w - - 3 44,0.832,0.828
4k3/5r2/8/5r2/1K6/RR3Q2/8/2q5 w - - 10 40,0.942,0.961
n7/1q3N1R/r7/5Q2/8/1K6/8/6k1 w - - 7 32,-0.899,-0.9
1q3r2/6B1/6R1/4K3/8/Q7/8/3b1k2 w - - 17 56,-0.741,-0.754
8/1k1r4/8/q4K2/8/b7/5Q2/R1B5 w - - 6 44,-0.923,-0.887
8/8/5r1n/6Q1/4k2K/N4q2/8/R7 w - - 10 44,0.893,0.906
3b4/k2B4/1b6/8/5Q2/8/2q3B1/6K1 w - - 1 33,-0.11800000000000001,-0.18
2qk4/B5Q1/7R/8/8/1r4b1/7K/8 w - - 10 53,-0.09499999999999999,-0.078
4R3/8/N6k/7n/3r1n2/8/7K/2N5 w - - 2 55,-0.07999999999999999,-0.159
1NB1k1q1/8/4K3/1n6/7Q/8/6b1/8 w - - 11 66,-0.061000000000000006,-0.10400000000000001
6RN/4K2r/8/3k4/8/3nB3/8/b7 w - - 8 42,-0.143,-0.093
QK6/N3n3/2R5/7k/q7/8/3r4/8 w - - 18 61,-0.11599999999999999,-0.064
R7/K2n1rr1/8/8/8/R7/8/1N4k1 w - - 2 65,-0.13899999999999998,-0.08
3R4/8/8/5B2/1rb2K2/8/3N2n1/6k1 w - - 15 51,0.156,0.115
8/nK1b4/6B1/q7/8/7k/1Q5N/8 w - - 6 38,0.056999999999999995,0.064
3k4/8/4r3/4b3/2q5/5K1Q/8/1B4R1 w - - 7 30,-0.074,-0.165
2K5/8/3rb3/4N3/n7/4B3/5R2/7k w - - 0 41,0.172,0.113
r7/kn3QN1/8/8/7q/2R5/2K5/8 w - - 1 59,0.07,0.071
5R1R/8/r7/8/5Q1K/2qr4/2k5/8 w - - 7 30,0.128,0.1
B7/5Q2/1q6/8/b5k1/8/5n2/2K2N2 w - - 3 61,0.122,0.114
8/4B1R1/5KN1/8/3n4/4k3/7b/5r2 w - - 0 37,-0.132,-0.072
1N1k4/6B1/6b1/8/8/Q2n1q2/8/4K3 w - - 9 44,-0.13799999999999998,-0.114
8/K2q4/5n2/8/8/4NB1k/5Q2/b7 w - - 7 54,-0.25599999999999995,-0.28700000000000003
4Bn2/5Q2/k2q4/8/1K6/3b4/8/6N1 w - - 3 30,-0.111,-0.179
4N3/8/5RK1/8/7r/4kn2/2R5/r7 w - - 15 67,0.12200000000000001,0.095
n7/7R/3K4/2N5/3k4/2r5/1n5N/8 w - - 4 69,0.101,0.112
1n1K4/8/4N3/5r2/7R/N7/n7/3k4 w - - 18 68,0.11599999999999999,0.111
k7/B7/2N3b1/6b1/8/4K3/8/1nB5 w - - 6 55,-0.13999999999999999,-0.118
3k4/1Q3B2/6b1/b2B4/8/5K2/8/6q1 w - - 11 52,0.08,0.13299999999999998
3N4/3n2kq/8/8/8/b7/4BQ2/6K1 w - - 11 63,0.07999999999999999,0.126
8/5Q2/5K2/4R3/8/r1q1N3/8/2k3n1 w - - 3 55,0.14300000000000002,0.10300000000000001
6BN/4b3/7R/8/4r3/5n1K/8/5k2 w - - 1 64,-0.13199999999999998,-0.178
3N2n1/2r5/RN1k4/8/8/2n3K1/8/8 w - - 7 61,0.106,0.129
8/2N2B1b/3r4/4R2K/1k6/1n6/8/8 w - - 2 65,0.156,0.11499999999999999
8/3R4/KN1n2r1/8/2rk4/8/8/5R2 w - - 5 64,0.15,0.127
B7/5n2/8/1n1K4/1b4N1/5N2/8/1k6 w - - 7 41,0.158,0.118
7R/2nr4/8/8/4N3/7K/3rk3/R7 w - - 0 48,0.144,0.15
4n3/1k2r3/8/1B6/8/3R4/3K4/1b3N2 w - - 3 48,0.126,0.16999999999999998
6q1/1N5b/7n/1K5B/1Q6/8/5k2/8 w - - 6 38,0.16399999999999998,0.146
1N1Q4/6q1/1r6/5k2/2n5/8/8/3RK3 w - - 6 32,0.079,0.09600000000000002
6n1/4k3/8/8/Q7/3K3N/N7/qn6 w - - 9 40,0.096,0.11199999999999999
6k1/3b1b2/1B3K2/5R2/7r/8/8/2B5 w - - 8 42,0.087,0.12
2n5/4b3/5K2/5N1k/8/5r2/1B6/6R1 w - - 15 57,0.09599999999999999,0.11699999999999999
3nk3/1n6/8/3q3K/8/6Q1/1N6/1N6 w - - 3 55,-0.11699999999999999,-0.153
8/8/5R2/K1r4k/3N4/4R3/2r5/2n5 w - - 12 47,0.16399999999999998,0.155
8/4n3/2r5/1RN2k2/8/7K/3n4/N7 w - - 1 39,0.16899999999999998,0.217
7Q/2RR4/4q3/3r4/k7/r7/8/K7 w - - 9 44,-0.957,-0.942
5k2/8/4BKB1/8/6bq/8/3Q4/6b1 w - - 1 30,-0.873,-0.852
1n6/7q/8/2K4B/8/2b4k/1N2Q3/8 w - - 21 70,0.9309999999999999,0.907
8/1q6/8/4Q3/4R3/1rrRK3/k7/8 w - - 10 70,0.915,0.905
5K2/4Q3/2r5/8/1n3qk1/4RN2/8/8 w - - 0 43,-0.869,-0.887
4b3/q6n/8/8/1K3k1N/8/8/4B2Q w - - 5 66,0.378,0.40399999999999997
6B1/6b1/4RNn1/8/2r5/8/k6K/8 w - - 17 58,0.42,0.713
k7/r7/8/3n4/8/2K5/8/3rNR1R w - - 2 39,-0.519,-0.584
8/1Q6/1NN5/2K4q/8/2n5/1k1n4/8 w - - 11 59,-0.424,-0.488
3R4/8/1r5B/1b1Q3K/k7/3q4/8/8 w - - 1 36,0.869,0.887
8/6QR/1q5K/8/1kr5/2r5/R7/8 w - - 15 53,-0.955,-0.977
1r4n1/7K/4R2Q/8/3q4/8/N4k2/8 w - - 2 48,0.914,0.902
8/3k4/8/1N1q4/3n4/8/K2RQ3/2r5 w - - 18 65,-0.913,-0.892
1r6/8/5K2/2B5/q6b/1k6/6R1/7Q w - - 4 30,-0.879,-0.907
8/2r4K/8/6b1/4Q3/B6k/5q2/3R4 w - - 17 63,-0.982,-0.9349999999999999
qB6/4R3/2b4r/8/1Q6/3k4/K7/8 w - - 8 67,0.878,0.842
8/8/1K2k3/8/1n4q1/1r1N4/5R2/5Q2 w - - 0 45,0.855,0.851
q3n3/8/6k1/7N/6K1/8/8/2QB3b w - - 11 37,0.87,0.861
3n4/4rk2/8/R7/5b2/2K5/8/1N1B4 w - - 0 62,0.352,0.373
N1B2b2/4r3/8/8/1K5R/8/5k2/4n3 w - - 6 37,0.354,0.307
n7/6R1/7N/k7/5B2/b6K/r7/8 w - - 11 40,0.354,0.335
q7/2B5/8/6rk/6R1/3b1K2/8/6Q1 w - - 1 52,-0.283,-0.27699999999999997
4RR2/5Nkn/8/5r2/K7/8/8/1r6 w - - 5 44,-0.358,-0.356
7b/3N3k/qB3K2/8/8/6Q1/8/n7 w - - 14 57,0.325,0.354
3R2Q1/3N4/k2K3r/7q/8/8/8/1n6 w - - 10 38,-0.33,-0.265
8/1n6/8/1Bq5/5k1N/3Q3K/8/b7 w - - 4 65,0.652,0.624
1n6/8/3N4/8/8/1k6/1r3R1Q/4q2K w - - 5 61,-0.39099999999999996,-0.27799999999999997
8/3K4/8/1R6/2Q1Brk1/7q/5b2/8 w - - 2 38,0.9289999999999999,0.977
8/7b/3k4/Q1q5/8/4n3/7K/N3B3 w - - 8 65,0.979,0.951
3r4/8/4K3/5R2/4R1N1/n6r/8/3k4 w - - 5 70,0.95,0.92
k7/8/r5K1/2bq4/8/8/7Q/1B3R2 w - - 9 36,-0.823,-0.7999999999999999
4B3/8/4k3/1Q6/4q3/6b1/2R5/1K5r w - - 12 63,-0.895,-0.928
QR4N1/8/8/5k2/K7/7r/n7/2q5 w - - 2 37,0.907,0.908
1b3r1K/3Q4/8/3B4/8/8/3k4/3q3R w - - 18 63,0.983,0.984
1B6/8/8/8/kN3R2/2n3b1/K7/4r3 w - - 16 62,-0.874,-0.889
2N4n/4B3/R1brk1K1/8/8/8/8/8 w - - 5 35,0.827,0.842
2q5/3n1N1K/8/1k6/8/8/Bb6/7Q w - - 9 52,0.967,0.978
6K1/8/7R/6R1/1k6/2r4B/r7/7b w - - 14 49,0.894,0.909
5n2/8/1N6/4K3/B7/8/q1b4k/2Q5 w - - 4 49,0.912,0.94
R1K5/8/2r3k1/1q6/1n2N2Q/8/8/8 w - - 14 60,-1.0,-1.0
4k3/3q3K/N3n3/8/8/B5b1/8/Q7 w - - 9 33,-0.897,-0.882
8/6k1/8/4K1q1/2B5/8/4Qb1r/4R3 w - - 5 39,-0.858,-0.888
5n2/8/2q5/3k4/r7/R3Q3/5NK1/8 w - - 19 60,0.944,0.94
3r3k/1Q1N4/5R2/8/8/8/1nq5/5K2 w - - 3 63,0.878,0.884
2R4K/2Q3N1/7r/1q3n2/8/8/8/1k6 w - - 12 59,-0.883,-0.888
6qn/2N5/8/RK5k/5r2/Q7/8/8 w - - 10 47,0.904,0.903
8/5Q2/8/8/q1B1n3/1N6/7k/b3K3 w - - 4 30,0.891,0.912
1K6/8/4N2k/7n/1r6/5n2/6N1/4R3 w - - 5 48,-0.915,-0.903
2k5/2br3K/2B5/7Q/8/7R/8/q7 w - - 11 65,0.836,0.85
8/1QN4R/3k4/8/8/2K5/3r2n1/3q4 w - - 4 53,1.0,0.901
7R/r7/5k2/1B6/1b4Q1/2q5/4K3/8 w - - 12 46,1.0,1.0
4K3/6k1/4BnN1/8/8/3Q4/5bq1/8 w - - 5 47,-0.891,-0.882
