,fen,original,rot180,difference
49335,5kn1/K1r5/8/R1N5/2B4b/8/8/8 w - - 21 67,0.078,0.101,0.023000000000000007
12811,8/8/8/4NRKn/8/R7/3k3r/6r1 w - - 21 67,0.094,0.071,0.023000000000000007
40856,8/6r1/4K2N/1n3b2/4k3/8/5R1B/8 w - - 21 70,0.044,0.067,0.023000000000000007
20293,8/8/3bq3/8/5K2/n5B1/1Q1Nk3/8 w - - 2 70,-0.126,-0.103,0.023000000000000007
20399,8/4n2K/4n3/N6k/8/8/4qNQ1/8 w - - 13 50,0.066,0.043,0.023000000000000007
15690,2qk2K1/R6N/8/4n3/3r4/8/8/7Q w - - 14 50,0.097,0.074,0.023000000000000007
33757,8/2Q1R3/8/3K4/q7/8/7N/r2kn3 w - - 3 55,-0.046,-0.069,0.023000000000000007
20426,b4B2/2K4k/3R4/7r/8/8/6r1/5R2 w - - 1 43,0.092,0.115,0.023000000000000007
15250,1K4k1/3N4/4n1B1/8/8/b4q2/8/Q7 w - - 13 51,-0.043,-0.066,0.023000000000000007
15766,6Q1/n1q5/8/b6N/7K/8/8/1B1k4 w - - 1 32,0.139,0.116,0.023000000000000007
23415,1N6/8/1n4k1/8/8/7N/q1n5/2KQ4 w - - 15 50,0.103,0.126,0.023000000000000007
36008,1K6/5k2/2r5/3N2RR/8/8/4n3/6r1 w - - 12 61,0.09,0.113,0.023000000000000007
19793,3k4/r7/B5R1/8/4KR2/8/1r5b/8 w - - 11 50,0.046,0.069,0.023000000000000007
30233,K6R/8/kr6/1b6/4N3/8/8/4n1B1 w - - 1 47,0.075,0.098,0.023000000000000007
20607,3N2n1/2r5/RN1k4/8/8/2n3K1/8/8 w - - 7 61,0.106,0.129,0.023000000000000007
41654,8/5q1r/8/3k4/8/3K4/R2Q4/4Bb2 w - - 9 34,0.073,0.096,0.023000000000000007
29518,k7/8/8/8/2r1r3/2n4N/5R2/K6R w - - 11 39,-0.09,-0.113,0.023000000000000007
29134,8/4R3/7b/8/2r1N3/7B/4k1K1/3n4 w - - 8 58,0.0639999999999999,0.0409999999999999,0.023000000000000007
18123,6K1/N7/4k3/5n2/8/8/1b1r4/5R1B w - - 2 55,-0.115,-0.092,0.023000000000000007
5141,N6k/Q7/8/6n1/1B6/6K1/1b6/5q2 w - - 1 43,-0.1009999999999999,-0.1239999999999999,0.023000000000000007
34907,4k3/5r2/7N/8/4r3/2K5/6n1/2RR4 w - - 9 47,0.072,0.095,0.023000000000000007
49774,N1Q5/4B3/2K5/4b2n/8/3k4/8/q7 w - - 7 30,0.111,0.088,0.023000000000000007
19547,1k5n/8/8/3BK2b/8/6B1/1N6/1b6 w - - 6 35,0.088,0.111,0.023000000000000007
21018,4R3/3k3b/8/8/8/1B2Q3/1q6/1r2K3 w - - 3 63,-0.047,-0.07,0.023000000000000007
7784,2k2K2/7r/3Q2R1/4q3/3b4/B7/8/8 w - - 1 62,0.086,0.109,0.023000000000000007
42499,n4B2/6R1/8/4k3/4N3/3K4/1r3b2/8 w - - 13 45,0.1159999999999999,0.1389999999999999,0.023000000000000007
40509,1BK5/2B5/4r2b/4b3/8/R7/3k4/8 w - - 1 55,0.082,0.059,0.023000000000000007
42475,8/8/7R/4K3/7R/rb6/k2B4/r7 w - - 2 38,0.128,0.105,0.023000000000000007
16780,8/6N1/7K/5R2/1k2n3/6qr/8/Q7 w - - 20 64,-0.0799999999999999,-0.0569999999999999,0.023000000000000007
35663,3K1b2/7r/5k2/1n6/5N2/8/6R1/3B4 w - - 15 61,0.101,0.078,0.023000000000000007
46830,4n3/8/8/3N4/6B1/1Q6/6bk/3K3q w - - 6 37,0.066,0.043,0.023000000000000007
24294,4r3/8/N6Q/1q6/2n5/2RK4/5k2/8 w - - 10 40,0.129,0.106,0.023000000000000007
18408,1K3N1R/8/4n3/8/4r3/r7/4k3/7R w - - 11 57,0.095,0.072,0.023000000000000007
27051,3B4/3K4/5b2/8/5q2/4b3/2Q1B2k/8 w - - 4 53,0.109,0.086,0.023000000000000007
11781,k6n/1r6/8/5R2/6KN/6R1/8/7r w - - 2 31,0.1159999999999999,0.1389999999999999,0.023000000000000007
41549,8/1B6/1B5b/8/8/3b4/k1q5/4Q2K w - - 7 38,0.082,0.059,0.023000000000000007
47807,1B1n4/K7/8/b4Q2/1q4Nk/8/8/8 w - - 20 69,-0.083,-0.06,0.023000000000000007
40526,8/2k4b/1r6/5n2/8/3KB3/8/2N3R1 w - - 9 64,0.06,0.083,0.023000000000000007
44963,4R3/1n6/1k6/6q1/8/6r1/2NQ4/2K5 w - - 10 54,0.018,0.041,0.023000000000000003
28549,2R3B1/8/8/1r6/b7/k7/2B2K2/1b6 w - - 6 30,0.041,0.018,0.023000000000000003
45252,8/8/6k1/2n5/5b1q/4KB2/8/1N1Q4 w - - 2 33,-0.011,-0.034,0.023000000000000003
45232,5B1k/1K6/4b3/1q6/8/Q7/4b3/7B w - - 5 31,0.011,0.034,0.023000000000000003
47341,2R4K/8/5N2/5B2/8/6b1/4k1n1/r7 w - - 1 33,0.049,0.026,0.023000000000000003
45434,8/8/4qbk1/4b3/B7/8/7K/2Q2B2 w - - 2 35,-0.019,-0.042,0.023000000000000003
38220,8/5B2/8/2B5/3nkbK1/8/8/1N5b w - - 4 65,0.011,0.034,0.023000000000000003
45909,1N6/5K2/8/6n1/6k1/2B4b/4r3/7R w - - 8 30,-0.049,-0.026,0.023000000000000003
46051,2r5/K5bB/8/B6R/8/4k3/2b5/8 w - - 1 35,0.035,0.012,0.023000000000000003
44520,2nn4/8/8/2K1k3/6q1/8/8/4NN1Q w - - 13 53,0.0029999999999999,0.0259999999999999,0.023000000000000003
25117,2n5/1q6/8/1k6/1n2N3/Q7/5N2/4K3 w - - 11 41,0.027,0.05,0.023000000000000003
38792,5b2/1B6/3bn3/8/2K5/4B3/k7/3N4 w - - 10 44,0.049,0.026,0.023000000000000003
22179,8/2R5/K6k/B7/4R3/1r6/8/3b1r2 w - - 11 63,0.0539999999999999,0.0309999999999999,0.023000000000000003
39536,B1N3k1/8/8/8/1n6/b4K2/7N/7n w - - 5 30,0.049,0.026,0.023000000000000003
32881,6R1/8/8/8/k2q2K1/5Q2/8/rb5B w - - 7 44,0.018,0.041,0.023000000000000003
45777,8/1N1n4/8/K7/5N2/8/1k6/q1n2Q2 w - - 11 63,-0.035,-0.012,0.023000000000000003
17492,8/K7/5n2/6QN/3r3R/8/5q2/4k3 w - - 2 36,0.04,0.063,0.023
45000,8/2N4R/8/r7/1R3n2/4r1k1/8/2K5 w - - 0 45,-0.001,-0.024,0.023
47386,1Rb5/2r1r3/k7/8/8/1B1R1K2/8/8 w - - 6 31,0.076,0.053,0.023
48026,8/1r6/1q4Q1/6K1/5R1B/8/5b2/k7 w - - 13 57,0.054,0.031,0.023
40739,8/3q4/5B2/6N1/2Q5/6b1/6n1/K5k1 w - - 2 37,0.075,0.052,0.023
45533,8/1NbB4/7b/8/8/1K6/8/1kn3B1 w - - 7 60,0.03,0.007,0.023
44369,7N/4k3/1q1n4/5nK1/8/2N5/3Q4/8 w - - 2 56,0.0349999999999999,0.0119999999999999,0.023
41467,8/1N6/q6k/8/1R6/r3K3/2Q5/7n w - - 6 39,-0.063,-0.04,0.023
38371,4k2n/3r4/5R2/6K1/2N5/8/1N4n1/8 w - - 6 32,0.037,0.06,0.023
46466,8/8/8/1n5Q/k7/6B1/2q1N3/5b1K w - - 3 56,0.074,0.051,0.023
34599,7r/7k/4n3/4N3/7b/8/3R4/B4K2 w - - 3 42,0.056,0.079,0.023
44595,1K6/N7/7k/2R3R1/8/8/n1r4r/8 w - - 12 57,0.007,0.03,0.023
44512,8/n4K2/2r5/7k/3n4/8/3N4/1R5N w - - 4 49,0.023,0.046,0.023
30756,8/1R6/1R3K2/8/B4b2/8/5rk1/7r w - - 5 70,0.054,0.077,0.023
41681,3q4/nB4k1/4K3/8/8/4b3/7Q/4N3 w - - 10 41,0.057,0.08,0.023
48653,5k2/3b1b2/4r3/B2B4/8/1RK5/8/8 w - - 4 49,0.052,0.075,0.023
45982,8/8/B4K2/3R1N2/8/2r5/1n5k/2b5 w - - 17 68,0.053,0.03,0.023
25662,2k5/8/5qr1/8/1B6/3Q4/4K3/1R4b1 w - - 2 51,0.017,0.04,0.023
45012,2k5/4b3/3R3B/1K5r/2N5/5n2/8/8 w - - 10 59,-0.032,-0.009,0.023
44057,1n5N/4r3/8/6k1/6B1/5K1R/3b4/8 w - - 5 35,-0.019,0.004,0.023
45992,4k3/1N6/1K4n1/8/8/8/1B2b3/R4r2 w - - 5 35,0.015,0.038,0.023
34564,8/1n1k4/8/2K5/6N1/1b1b3B/1B6/8 w - - 9 37,0.057,0.08,0.023
28687,3r4/6R1/k5B1/2B1K3/6b1/3b4/8/8 w - - 2 69,0.036,0.013,0.023
40770,8/3nK3/2b3k1/6q1/1Q6/N7/B7/8 w - - 6 56,-0.078,-0.055,0.023
40778,6R1/2n5/1k6/rb6/2K5/3N3B/8/8 w - - 10 48,-0.051,-0.074,0.023
47872,1k1b4/8/4K3/n5q1/8/4N3/8/3BQ3 w - - 6 48,-0.076,-0.053,0.023
46959,8/2Q5/1B6/5K2/5R2/7b/1q1k3r/8 w - - 1 47,0.055,0.032,0.023
38104,3q4/8/8/4n3/1kn5/2N2K1Q/4N3/8 w - - 4 51,-0.017,-0.04,0.023
22547,2q4b/5R2/8/k6r/2K1Q3/8/8/7B w - - 8 55,-0.025,-0.048,0.023
22203,1r4k1/2N2n2/8/2R3NK/8/8/8/6n1 w - - 5 49,0.056,0.079,0.023
39533,1B4k1/7b/4R3/7R/8/6K1/8/2r3r1 w - - 2 32,-0.022,-0.045,0.023
40608,8/8/8/R5K1/1NR5/5k2/4r3/5n1r w - - 4 58,0.075,0.052,0.023
38465,8/2n5/3n4/K7/6NB/8/4kbN1/8 w - - 8 33,0.033,0.01,0.023
34562,1q6/6k1/1K2Q3/1b6/1r6/8/R1B5/8 w - - 4 45,0.0059999999999999,0.0289999999999999,0.023
48579,4K3/6r1/5R2/2B5/8/7n/k1N4b/8 w - - 12 39,0.078,0.055,0.023
46548,k7/5n2/2NK4/4rb2/8/8/4R3/3B4 w - - 0 36,0.031,0.054,0.023
44209,8/8/3b3Q/1n6/2q5/7N/4K3/3B3k w - - 4 48,0.008,-0.015,0.023
35572,k6B/4b3/1RN5/8/1n2r1K1/8/8/8 w - - 7 70,0.053,0.076,0.023
29519,8/N1R2K2/8/1Q6/7r/8/6n1/3qk3 w - - 7 46,-0.059,-0.036,0.023
40988,2bN4/5R2/8/7B/2K5/8/3kr3/n7 w - - 7 48,0.075,0.052,0.023
32660,1r6/2k4B/7K/R7/8/7R/7b/7r w - - 12 47,0.0249999999999999,0.0019999999999999,0.023
32690,1q2K2k/2b5/6B1/8/4Q3/3N4/1n6/8 w - - 2 32,0.025,0.002,0.023
44097,8/3R4/3N4/8/6B1/1Kbk1r2/3n4/8 w - - 5 47,0.0,-0.023,0.023
15132,1k4N1/4R3/8/5r2/3K2n1/q7/3Q4/8 w - - 17 61,-0.005,0.018,0.023
38918,8/8/7B/4R3/r4N2/8/b1K4n/6k1 w - - 3 40,0.048,0.025,0.023
32691,1K1k4/1R6/8/8/1N6/4r2n/8/B3b3 w - - 4 42,0.015,0.038,0.023
29975,1N2nk2/3Kr3/6R1/8/8/b4B2/8/8 w - - 8 59,0.034,0.057,0.023
32817,6K1/8/3k1N1R/8/8/3r4/2B5/3n1b2 w - - 17 63,0.059,0.036,0.023
29938,8/NK6/8/3k4/b6Q/1n6/q6B/8 w - - 1 58,0.077,0.054,0.023
11685,B3k3/b7/8/B3K3/8/4b3/2q5/5Q2 w - - 3 70,0.053,0.076,0.023
29907,5b2/8/3r4/3q4/8/2kB2QR/K7/8 w - - 1 41,0.022,0.045,0.023
34262,1r6/8/1n3r1k/8/1N6/3R4/8/1KR5 w - - 9 48,0.054,0.077,0.023
38768,1r1n4/1r5k/8/8/8/8/5RRK/5N2 w - - 10 48,0.033,0.056,0.023
15046,2Q5/8/6N1/2R5/7r/n7/7q/1K3k2 w - - 5 62,0.078,0.055,0.023
38643,6b1/5n1n/6k1/3B4/N1N5/K7/8/8 w - - 8 45,0.024,0.001,0.023
29479,1B4n1/8/4Nb2/2K5/3R4/8/8/4k2r w - - 10 47,0.079,0.056,0.023
40327,6n1/1k6/8/2n1r3/8/RN1K4/8/2N5 w - - 14 45,0.035,0.058,0.023
45626,8/8/8/2n5/8/rn6/1R4N1/2NK1k2 w - - 1 51,0.0349999999999999,0.0119999999999999,0.023
48744,6K1/3N4/5B1q/8/1n6/k7/8/1Q5b w - - 6 32,0.033,0.056,0.023
39157,1b3K2/8/7n/1r6/8/R3Nk2/2B5/8 w - - 9 51,0.059,0.036,0.023
46339,1K5Q/3k4/8/2b3q1/8/8/N1n5/5B2 w - - 3 46,0.025,0.048,0.023
39143,5Bnk/8/2b5/K5r1/8/1N6/3R4/8 w - - 6 38,0.017,0.04,0.023
38020,b1K4Q/2B2N2/q7/n7/6k1/8/8/8 w - - 21 69,0.074,0.051,0.023
29189,4BR2/2q5/8/6b1/4Q3/4K3/8/k2r4 w - - 4 37,-0.002,-0.025,0.023
26320,2B5/8/8/2K2B2/b1Q5/8/4b3/3qk3 w - - 19 69,0.078,0.055,0.023
46508,7N/8/2kb1n2/8/KB6/7Q/8/6q1 w - - 11 44,0.022,0.045,0.023
47764,8/1r6/8/3R4/B7/8/K3N1kn/4b3 w - - 10 68,0.053,0.03,0.023
46510,k7/7B/b7/2K2R2/r2n1N2/8/8/8 w - - 7 43,0.023,0.046,0.023
46263,5Q1B/8/8/1q6/2n5/7b/K5k1/2N5 w - - 0 47,-0.03,-0.053,0.023
46592,6r1/4K3/R7/5R2/4r3/Q5qk/8/8 w - - 3 64,0.02,-0.003,0.023
44458,B3BQ2/8/8/b7/8/3q4/4b2K/3k4 w - - 1 34,0.004,-0.019,0.023
29379,B7/3K4/8/4b1q1/8/1N5Q/4k3/n7 w - - 9 48,0.076,0.053,0.023
32977,4B1k1/1r6/8/8/4b3/8/4NK2/1n1R4 w - - 11 68,0.023,0.046,0.023
12633,3bk3/2b5/8/8/8/1Q5B/B4q2/1K6 w - - 7 45,0.054,0.077,0.023
47171,8/b1K5/5k2/1R6/3r4/4Bn2/6N1/8 w - - 0 31,0.052,0.075,0.023
44108,1r1r4/1n2R3/k7/2R5/N5K1/8/8/8 w - - 14 47,0.011,-0.012,0.023
45830,4k3/8/2R1N3/8/3K4/8/8/4brnB w - - 8 31,0.017,0.04,0.023
13591,8/N6K/bB6/3Q4/8/2k3q1/6n1/8 w - - 1 49,0.059,0.036,0.023
40486,1B3n2/4k3/5r2/8/4N3/3R4/b7/4K3 w - - 3 47,0.054,0.077,0.023
22286,1n6/N4k2/4b1r1/7R/3K4/3B4/8/8 w - - 5 43,0.051,0.074,0.023
48640,8/6N1/8/5N2/3K1k2/4n3/2b1B3/7n w - - 3 65,0.052,0.075,0.023
45051,1n4K1/1k6/8/8/8/8/1bN5/3BNn2 w - - 3 53,0.013,0.036,0.023
46403,1KB5/8/8/3bN2R/8/8/3n2k1/2r5 w - - 9 47,0.036,0.013,0.023
25841,8/8/Q6K/7N/R7/2n1q2k/6r1/8 w - - 4 47,-0.065,-0.042,0.023
35812,2R4Q/4q3/8/6r1/5k2/6b1/8/B4K2 w - - 4 69,0.054,0.077,0.023
8825,4Q3/5R2/1K1q4/8/8/3kN3/3r4/1n6 w - - 9 63,-0.052,-0.075,0.023
21906,7k/6q1/8/5nN1/2b5/6Q1/7K/4B3 w - - 4 59,0.058,0.081,0.023
33504,1B6/2B3b1/1R6/8/2K5/8/3b4/r1k5 w - - 10 59,0.054,0.031,0.023
39992,k1B1N3/b7/8/6nr/8/8/5K2/4R3 w - - 1 60,0.056,0.079,0.023
34965,r7/1n6/4R2K/8/8/1k5B/1b3N2/8 w - - 4 38,0.065,0.042,0.023
46670,4N3/4Q3/K7/4b2n/8/1k6/4q3/1B6 w - - 13 65,-0.036,-0.013,0.023
44714,1B5b/8/8/8/1b2N1K1/1B6/4n3/4k3 w - - 9 34,0.054,0.031,0.023
21916,8/8/8/B7/3R4/8/2rRK1b1/k1r5 w - - 6 47,0.063,0.04,0.023
33541,n6N/8/6B1/b7/8/3K4/6R1/k1r5 w - - 14 66,0.055,0.032,0.023
39746,8/8/2N2K2/1B5n/5bk1/Q7/8/3q4 w - - 8 66,-0.059,-0.036,0.023
45184,3n3k/6R1/3N1K2/8/8/4r3/N4n2/8 w - - 4 38,0.0049999999999999,0.0279999999999999,0.023
39789,1R6/8/R7/6r1/1B5k/8/1rb3K1/8 w - - 18 60,-0.009,-0.032,0.023
46723,N6n/8/6k1/7q/4N3/7n/8/2Q2K2 w - - 9 32,0.014,0.037,0.023
44803,8/1N2q3/1K4n1/4n3/8/1QN5/8/5k2 w - - 5 38,0.047,0.024,0.023
46707,1N4K1/8/6k1/4n1N1/8/8/4r3/4n1R1 w - - 12 54,0.014,0.037,0.023
22107,8/NQ3B2/5k1K/5q1n/6b1/8/8/8 w - - 12 63,-0.052,-0.075,0.023
23011,7R/8/5Q2/8/1k4NK/r7/6n1/1q6 w - - 12 70,-0.0749999999999999,-0.0519999999999999,0.023
45154,K7/3k4/8/Q2B4/3b1q2/8/1b4B1/8 w - - 17 56,0.008,0.031,0.023
33370,2q4K/4k3/8/4N3/Q1b5/8/1B1n4/8 w - - 19 63,-0.038,-0.015,0.023
21873,N6K/8/4N3/7k/n6b/8/1n6/7B w - - 3 37,0.005,0.028,0.023
40627,3r4/3k4/N7/K7/4n2n/R7/8/4N3 w - - 5 32,0.051,0.074,0.023
46199,8/5b2/3B1k2/r7/8/2R3K1/4b3/1B6 w - - 18 68,0.013,0.036,0.023
47691,3QN3/1K6/7q/3N4/8/8/1k6/3n3n w - - 4 48,0.077,0.054,0.023
46574,b7/5K2/1k2B3/8/8/2r2b2/3R3B/8 w - - 10 43,0.02,0.043,0.022999999999999996
46795,8/8/B7/4R2K/5R2/1rk4r/b7/8 w - - 1 55,0.043,0.02,0.022999999999999996
46300,8/4b3/7r/8/3BK3/n4R2/N6k/8 w - - 13 45,0.052,0.029,0.022999999999999996
44280,6r1/8/5K2/2r4b/6k1/4R3/5RB1/8 w - - 14 51,0.021,0.044,0.022999999999999996
33892,2QN1K2/6n1/B7/8/8/1kb3q1/8/8 w - - 4 40,-0.02,-0.043,0.022999999999999996
47894,8/3R4/2rR3K/5B2/2r5/8/kb6/8 w - - 8 32,0.051,0.028,0.022999999999999996
29123,7R/b7/1r2b3/8/8/4B3/2k1B1K1/8 w - - 18 70,0.028,0.051,0.022999999999999996
33460,4k3/1B6/8/6bn/1N6/3K1R2/7r/8 w - - 18 59,0.02,0.043,0.022999999999999996
39939,N6k/3Q2n1/8/5B2/8/8/3b2K1/4q3 w - - 5 51,0.02,0.043,0.022999999999999996
46535,6N1/8/r7/3n4/1K2R3/6R1/7r/k7 w - - 16 57,-0.052,-0.029,0.022999999999999996
46879,n4k2/7R/8/r7/8/1r6/5N2/6KR w - - 6 66,0.028,0.051,0.022999999999999996
14208,8/6R1/3k1K1N/8/6R1/2n5/8/1r2r3 w - - 7 48,0.151,0.174,0.022999999999999993
49702,8/3R4/2r3R1/8/1b6/3B3K/8/2r1k3 w - - 11 47,0.102,0.079,0.022999999999999993
27668,3R2b1/3K4/7k/6r1/QB6/6q1/8/8 w - - 13 44,0.138,0.161,0.022999999999999993
34015,2n5/b4R2/1r5k/3B4/8/N4K2/8/8 w - - 3 67,0.049,0.072,0.022999999999999993
30486,5R2/2n4B/3r4/8/6K1/3Nb3/8/6k1 w - - 17 67,0.12,0.097,0.022999999999999993
25416,2k4n/K5N1/8/2r1n3/8/7N/7R/8 w - - 6 30,-0.089,-0.066,0.022999999999999993
30451,8/b1k5/4RB2/1K5N/8/8/3n1r2/8 w - - 16 54,0.096,0.119,0.022999999999999993
42267,1nq4K/8/8/8/1b1BQ3/4N3/5k2/8 w - - 5 42,0.108,0.085,0.022999999999999993
19000,b2r3k/8/R7/8/8/K1R3B1/6r1/8 w - - 7 50,0.1099999999999999,0.1329999999999999,0.022999999999999993
20431,4B1Q1/4q3/N7/5n2/1b6/3k4/1K6/8 w - - 14 47,0.126,0.149,0.022999999999999993
11362,3N1Q2/3b2B1/1n3K2/1k6/5q2/8/8/8 w - - 2 50,-0.142,-0.119,0.022999999999999993
17616,1R6/8/8/8/N7/4b1r1/8/kB1K2n1 w - - 14 58,0.177,0.154,0.022999999999999993
34058,8/3r4/6n1/8/2K5/7N/k2b3B/5R2 w - - 2 60,0.071,0.048,0.022999999999999993
41758,N1B5/7r/5R2/8/8/7n/bk5K/8 w - - 22 69,0.138,0.161,0.022999999999999993
15902,8/5N2/3Q4/4n2q/5R2/7k/r1K5/8 w - - 4 30,0.088,0.065,0.022999999999999993
10413,4B3/6Nk/7b/8/8/K7/6R1/r2n4 w - - 14 47,-0.175,-0.152,0.022999999999999993
20371,K7/3R4/8/5N1k/8/3Rr2r/2n5/8 w - - 15 50,0.185,0.208,0.022999999999999993
8964,8/3B4/2R4K/b3N3/8/8/4k3/n2r4 w - - 4 57,0.153,0.13,0.022999999999999993
25452,8/8/4B3/8/R7/1R3K2/5b1r/5r1k w - - 8 36,0.237,0.214,0.022999999999999993
24418,2k5/2r5/R1r5/2q5/3R4/3Q2K1/8/8 w - - 9 44,0.183,0.206,0.022999999999999993
30570,N3B3/7Q/1b3q2/3k3K/8/8/n7/8 w - - 7 31,0.092,0.069,0.022999999999999993
26791,RK6/8/1b6/8/5r2/5r2/2k5/2B4R w - - 16 51,0.104,0.081,0.022999999999999993
16505,3n3b/8/8/8/7N/4k1r1/8/1RK2B2 w - - 3 39,0.149,0.126,0.022999999999999993
6197,5qn1/6b1/8/7B/8/3k3K/7N/2Q5 w - - 1 46,0.212,0.189,0.022999999999999993
21310,1r6/7R/1n6/2K5/8/8/N6R/k4r2 w - - 18 68,0.146,0.123,0.022999999999999993
7878,2q4B/8/8/8/n2b3Q/2k5/4K3/7N w - - 2 31,0.195,0.218,0.022999999999999993
42573,4N3/5K2/7k/3N4/6n1/8/Q7/n4q2 w - - 4 36,0.142,0.119,0.022999999999999993
17354,n7/1R6/K7/4N3/8/1R6/2kr3r/8 w - - 7 62,0.237,0.214,0.022999999999999993
25461,q5k1/1R6/8/8/4Q3/1K6/8/2n3rN w - - 0 44,-0.19,-0.167,0.022999999999999993
20609,8/3R4/KN1n2r1/8/2rk4/8/8/5R2 w - - 5 64,0.15,0.127,0.022999999999999993
15424,3r4/1k1b2R1/2r5/8/4R3/8/5B2/5K2 w - - 8 66,0.068,0.091,0.022999999999999993
20284,8/n7/8/1n6/5kq1/1NN5/8/K3Q3 w - - 9 30,0.097,0.12,0.022999999999999993
27234,3K4/5nn1/8/N1k5/2r5/8/R4N2/8 w - - 9 35,0.142,0.119,0.022999999999999993
18509,8/5n2/2k3b1/8/7r/4BR2/1K6/1N6 w - - 11 37,0.123,0.146,0.022999999999999993
22804,8/Kb6/2q1Q1N1/5B2/8/8/7k/6n1 w - - 12 65,0.106,0.083,0.022999999999999993
25984,8/7n/4Nb2/8/2k4K/4r2B/8/3R4 w - - 8 51,-0.093,-0.07,0.022999999999999993
47441,7n/1q6/2k5/8/2K4n/4Q3/8/N2N4 w - - 7 36,0.082,0.105,0.022999999999999993
49942,N7/n6b/1Rr5/k7/8/6K1/4B3/8 w - - 7 57,0.153,0.13,0.022999999999999993
12459,8/2k2b2/Q5N1/8/2K5/6n1/7q/2B5 w - - 10 36,0.186,0.209,0.022999999999999993
14940,1Q1B4/3k4/8/7q/3b4/8/3B4/b6K w - - 0 68,-0.1349999999999999,-0.1579999999999999,0.022999999999999993
32014,6R1/1K6/5r2/6N1/8/8/7k/3Q2nq w - - 15 55,0.189,0.166,0.022999999999999993
8384,4n3/3N4/1R6/8/k5r1/2r1K3/8/5R2 w - - 10 37,0.1709999999999999,0.1939999999999999,0.022999999999999993
17714,8/1K3k1r/B7/8/8/b3b3/2R5/B7 w - - 7 37,0.0779999999999999,0.1009999999999999,0.022999999999999993
40435,8/8/7N/4k3/8/B2b4/R3n1r1/K7 w - - 2 60,-0.082,-0.105,0.022999999999999993
47937,r3n3/5R2/7N/2K5/8/4k1Nn/8/8 w - - 8 54,0.071,0.048,0.022999999999999993
4736,3k4/5b2/B7/K7/5B1n/Nb6/8/8 w - - 5 44,0.187,0.164,0.022999999999999993
47206,2kn4/8/8/7N/K7/1N1n1Q2/2q5/8 w - - 7 49,-0.048,-0.071,0.022999999999999993
29723,B7/2N2Q2/8/n7/8/2b5/8/2q1k2K w - - 6 38,-0.073,-0.05,0.022999999999999993
40949,5R2/3r4/2b1k3/2B5/8/K3N2n/8/8 w - - 3 30,0.065,0.088,0.022999999999999993
35636,1R6/5knr/8/b3B3/4K3/4N3/8/8 w - - 6 47,0.083,0.106,0.022999999999999993
18791,k7/5R2/r4K2/q7/8/1N4Q1/1n6/8 w - - 8 48,0.202,0.225,0.022999999999999993
17775,5k2/8/6R1/B3N3/3K4/7r/b6n/8 w - - 2 35,0.216,0.193,0.022999999999999993
35638,8/2n2q2/1b5k/8/8/Q3N3/3K2B1/8 w - - 5 57,0.079,0.102,0.022999999999999993
7657,1K2R3/4B3/8/8/6Qb/8/rk5q/8 w - - 7 53,-0.118,-0.095,0.022999999999999993
40071,3R4/b7/8/6N1/6n1/6B1/7r/1K5k w - - 20 63,0.073,0.05,0.022999999999999993
25803,8/8/4k3/8/1n6/4NB1K/rb2R3/8 w - - 5 44,0.166,0.189,0.022999999999999993
23760,7K/2k5/6B1/8/8/1R4N1/2r5/4n1b1 w - - 13 56,0.134,0.157,0.022999999999999993
3264,1q6/N3Q3/8/1n6/8/1k4K1/r7/7R w - - 3 41,-0.201,-0.224,0.022999999999999993
37244,N3q3/3bB1K1/8/8/4Q3/7k/6n1/8 w - - 4 57,0.214,0.191,0.022999999999999993
17648,8/5b1N/5B2/n7/k7/8/4R3/K5r1 w - - 1 30,-0.121,-0.098,0.022999999999999993
5123,b7/8/1K6/8/7k/4B3/1bQ5/q5B1 w - - 8 68,0.214,0.191,0.022999999999999993
14832,B7/7n/7b/7b/3N4/4k3/1B5K/8 w - - 17 54,0.119,0.096,0.022999999999999993
18284,k2b1B2/8/8/7n/1N2K3/8/5bB1/8 w - - 11 38,0.229,0.252,0.022999999999999993
31308,8/8/3N4/k7/n7/5BKR/4r3/3b4 w - - 4 33,0.123,0.146,0.022999999999999993
26601,k5n1/2b4q/6N1/5K2/8/8/8/3BQ3 w - - 2 33,0.239,0.216,0.022999999999999993
24613,8/k3n3/7R/3r4/7R/r1N5/2K5/8 w - - 1 54,0.181,0.204,0.022999999999999993
26577,2Q5/3K4/5qb1/N2B4/8/6n1/1k6/8 w - - 3 55,0.106,0.083,0.022999999999999993
24305,2n4r/8/3kq3/6K1/8/8/6N1/1R2Q3 w - - 9 32,0.1339999999999999,0.1109999999999999,0.022999999999999993
30079,7b/1B6/8/7N/1k6/8/K7/4rn1R w - - 3 34,-0.069,-0.092,0.022999999999999993
26552,8/1k6/5b1q/1B1K4/8/2N5/2Q5/2n5 w - - 10 37,0.0809999999999999,0.1039999999999999,0.022999999999999993
49730,4B2R/6n1/2K5/k4r2/4N3/8/8/2b5 w - - 2 70,0.15,0.127,0.022999999999999993
23902,3b4/5Q2/2k5/8/6r1/1B6/3K2q1/4R3 w - - 1 30,0.215,0.238,0.022999999999999993
20188,Q7/5n2/B7/2K5/4N3/1k2b3/6q1/8 w - - 5 63,0.093,0.07,0.022999999999999993
30474,4b1n1/6k1/8/6N1/5KB1/8/6q1/3Q4 w - - 1 51,0.1,0.123,0.022999999999999993
