CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 89efbbfa12241eb7b13b5f2f3bd8c534d7a9f1d5
uncommitted changes = True
seed = 42
engine_config_name = stockfish_classic_local_81000_nodes.ini
data_config_name = fens_board_transformations.ini
address = 127.0.0.1
port = 60004
password = password
remove_pawns = False
num_positions = 50000
transformations = ['rot90', 'rot180', 'rot270', 'flip_diag', 'flip_anti_diag', 'flip_hor', 'flip_vert']
result_subdir = 

fen,original,rot90,rot180,rot270,flip_diag,flip_anti_diag,flip_hor,flip_vert
4K3/2B5/8/6k1/1R3N2/4nb2/6r1/8 w - - 8 56,34,34,27,31,31,38,34,30
2K5/5B2/N7/2Q5/2n1k3/b7/q7/8 w - - 0 30,94,108,129,116,64,88,76,78
Q7/N6B/3k4/8/8/7K/3b4/3nq3 w - - 4 30,0,0,0,0,0,0,0,0
3N4/8/7B/7b/2K3r1/2R5/n7/3k4 w - - 9 30,-31,-34,-30,-31,-31,-34,-34,-27
8/5R2/r2q3Q/5KB1/8/b7/8/3k4 w - - 1 67,0,0,0,0,93,0,4,16
8/2R5/k7/3KBBbr/8/8/7b/8 w - - 0 36,31,31,31,33,35,28,42,36
NK5n/4N3/8/4k3/3n4/3Q4/8/q7 w - - 2 38,107,109,138,96,99,141,103,109
8/1KR5/8/RB5k/8/6b1/8/2rr4 w - - 14 66,48,50,47,43,42,49,47,46
7b/2k5/4b3/7q/8/8/2BK4/1QB5 w - - 4 38,-19,-58,-3,-20,0,-10,-30,-37
1B6/8/2r5/8/1R1RK2b/8/3r4/2k5 w - - 5 35,70,51,178,74,51,48,53,42
2r5/4BRR1/8/6r1/2K1k3/8/3b4/8 w - - 5 65,-121,-60,-64,-55,-70,-60,-70,-88
8/1k1NKR2/1r6/8/3b4/8/3Bn3/8 w - - 16 62,33,30,38,34,37,30,34,33
5q2/1n3k2/8/6B1/3b4/7Q/8/4KN2 w - - 1 63,103,126,118,121,120,129,124,130
7n/8/3K3N/8/k7/1n6/4QN2/1q6 w - - 8 70,80,23,44,83,69,31,12,42
8/2R5/B7/5rk1/8/1K6/7Q/3q3b w - - 5 65,-94,-88,-92,-104,-116,-135,-98,-94
3R4/2r4r/4K3/n5N1/2k5/5R2/8/8 w - - 0 55,44,39,36,43,46,36,43,42
1N6/6k1/8/8/2Q1b3/4K3/6q1/n2B4 w - - 8 47,71,20,36,753,80,28,15,36
8/3R4/8/8/6k1/8/2n1rrNR/K7 w - - 5 39,-55,-60,-45,-62,-52,-53,-52,-53
n7/N3b3/8/K5b1/1B1k4/8/B7/8 w - - 11 45,54,49,54,44,47,54,53,51
1B2K1q1/8/r6b/7R/1Q6/8/2k5/8 w - - 10 49,-79,-90,-88,-93,-12,-88,-97,-82
8/8/qr6/6k1/8/5Q2/2R1K3/1n4N1 w - - 10 59,0,0,0,0,0,0,0,0
b7/8/8/5K1Q/5R2/2q5/1r6/k2B4 w - - 10 36,0,-49,-12,-47,-46,0,-4,-55
B3q3/4n3/8/6b1/4Q3/3N2k1/8/2K5 w - - 14 62,50,27,68,53,62,41,23,30
1N3Q2/8/8/8/4kN2/1n3nq1/8/7K w - - 2 49,-11,-11,-11,-14,-11,-11,-11,-11
8/3BNK1b/8/1Rr5/n4k2/8/8/8 w - - 10 46,63,54,49,53,57,57,55,48
b7/7K/5Q2/1r2R3/1q6/3k4/8/6B1 w - - 7 39,3185,273,749,326,3144,489,3106,274
8/6nk/8/8/1n2N1R1/8/2r5/N5K1 w - - 6 54,42,44,45,41,45,45,41,45
3K4/8/2N3R1/3n4/4r1B1/8/3b2k1/8 w - - 5 48,68,68,56,65,68,72,70,55
q7/r4B2/8/1b6/1k6/8/Q6R/2K5 w - - 20 69,31992,2913,589,666,31992,31992,519,31992
4B3/4n2r/3K4/8/1k6/2b5/4N3/3R4 w - - 6 48,70,65,67,80,80,70,80,69
R7/Q1r5/8/4q3/B7/8/K3b2k/8 w - - 12 45,0,0,0,0,0,0,3,0
8/b7/8/1n6/7k/q7/2Q5/1N1B2K1 w - - 3 50,0,0,0,-3,0,0,0,0
7b/1r6/6q1/6B1/5Q2/k7/2R5/1K6 w - - 2 69,0,0,0,0,0,0,0,0
4K1k1/8/RB6/3N1n2/8/7b/8/1r6 w - - 16 69,0,0,0,0,0,0,0,0
1Q3R2/5R2/8/3k2r1/1Kr4q/8/8/8 w - - 7 68,0,0,0,0,0,0,0,0
2B5/2R5/5n2/8/2N5/8/3b4/K1k1r3 w - - 1 67,2,0,0,6,3,0,9,0
8/2k5/q6N/4K1R1/8/2n5/2r5/7Q w - - 8 46,0,0,0,0,0,0,0,0
3b4/3N4/1r5k/R7/2B5/8/6n1/4K3 w - - 11 37,0,0,0,0,0,0,0,0
Q7/8/1B6/3R4/K4q2/8/1b5k/7r w - - 7 36,16,0,18,12,0,25,21,21
8/k1N5/8/n7/3N3K/3b4/5B2/5n2 w - - 9 34,3,3,8,4,10,0,0,3
6k1/5N2/r4nK1/8/8/7q/3R4/1Q6 w - - 3 54,0,0,0,0,0,0,0,0
8/5r2/4Rb2/8/4N3/1k1K4/8/2Bn4 w - - 5 38,90,87,88,91,86,80,87,92
n7/6KN/q7/N6k/2n5/8/Q7/8 w - - 18 69,713,3090,776,3070,3046,3107,3127,3096
2k5/2B1R3/6R1/b4r2/8/8/1r6/4K3 w - - 17 62,132,169,175,169,147,172,152,173
2b5/8/5KB1/8/k5q1/8/3QNn2/8 w - - 17 60,3227,3311,3284,3211,3283,3276,3350,3285
4n1r1/8/2k5/8/6KN/4R3/5Q2/1q6 w - - 0 47,-273,-272,-285,-295,-297,-271,-280,-288
8/4k3/7R/4K3/4r3/2N4Q/3n4/1q6 w - - 6 44,171,175,44,177,35,175,54,181
8/5rn1/1N5K/8/5k2/1R6/8/5b1B w - - 6 31,178,170,179,176,176,180,186,178
8/8/8/1N6/7R/5R1K/r1n1r3/1k6 w - - 0 37,196,199,181,212,198,174,191,191
6n1/8/4K3/8/1b4B1/5Q2/4N3/q2k4 w - - 1 30,31993,31993,31993,3248,31993,31993,31993,31993
N6R/7N/1K6/7n/6k1/8/3n4/6r1 w - - 0 37,168,170,161,161,157,164,168,163
8/2R5/2B1r3/k6K/8/r4b2/5R2/8 w - - 22 70,115,86,119,116,105,106,109,111
8/8/8/K7/3B3k/4N3/b1nR4/2r5 w - - 9 49,73,71,70,69,61,72,63,72
8/8/2RK1N2/r7/5n2/1B2b3/7k/8 w - - 3 39,59,61,58,52,52,62,61,53
2k5/K7/6B1/1R6/1b1r4/8/N2n4/8 w - - 6 39,79,83,82,73,73,72,75,76
k7/5N2/8/1q6/8/4QK2/1b6/1n1B4 w - - 18 63,162,163,119,151,189,152,159,175
8/4k3/8/K7/2q5/2r2b2/1R4Q1/B7 w - - 8 40,60,70,76,83,75,74,12,92
1knRR3/8/7r/2K5/8/8/N7/5r2 w - - 10 68,118,118,129,131,121,131,124,124
3K4/8/8/q2b4/8/8/k5nN/3B1Q2 w - - 2 35,-156,-175,-117,-168,-171,-162,-143,-112
1QK5/3B1r2/2R5/8/8/6q1/7k/4b3 w - - 4 45,116,195,152,12,180,53,141,63
N7/7n/2n5/8/kq6/8/K3Q3/N7 w - - 9 50,24,59,78,57,134,138,52,40
n7/8/8/8/2Krk2N/r7/5RR1/8 w - - 20 67,-65,-57,-45,-64,-52,-55,-48,-44
8/2r3k1/8/1B4K1/3r4/7R/6R1/3b4 w - - 10 59,46,49,50,49,47,49,45,49
1r2r2k/8/8/Rn6/8/8/8/1N3R1K w - - 0 67,0,0,0,0,0,0,0,0
6K1/1q4b1/3Q4/5Bk1/6B1/8/8/7b w - - 7 68,16,15,44,20,26,137,62,37
2n5/8/R7/N3r3/1k2n3/8/1NK5/8 w - - 1 41,31,34,31,31,34,31,27,31
8/K6k/B7/4b2r/4R3/8/7r/4R3 w - - 11 55,49,50,46,42,39,49,46,49
K6N/7k/R1n2Q2/8/2r3q1/8/8/8 w - - 8 53,0,0,0,0,0,0,0,0
1Q6/6q1/8/8/5n1K/2k5/7b/N4B2 w - - 4 70,-11,-11,0,0,0,0,0,0
8/R7/3rk3/5n2/7b/K7/4N3/2B5 w - - 15 55,0,0,-3,0,0,0,0,0
2B4R/4k2K/8/2b4r/8/7b/8/2B5 w - - 11 39,-15,-15,-15,-15,-11,-15,-12,-15
r7/5K2/6Bb/5R2/1R6/8/3k4/4r3 w - - 12 68,0,0,0,0,0,-3,0,0
2K1k2N/8/3B4/8/R7/3br3/4n3/8 w - - 1 58,0,0,0,0,0,0,0,0
6Q1/7K/N7/4b1B1/8/8/1q6/1k4n1 w - - 3 55,0,0,0,0,0,0,0,0
4Q3/7k/8/8/B4K2/B2b3b/3q4/8 w - - 10 37,0,0,0,0,0,0,0,0
7K/6n1/6k1/8/8/1B2Q3/2N5/4bq2 w - - 11 55,7,7,7,7,7,7,7,7
b3K3/5Q2/B7/3q1b2/7B/8/8/k7 w - - 6 70,0,0,0,0,0,0,0,0
2R5/8/r7/4b3/7r/6k1/3K4/3B1R2 w - - 14 58,0,0,0,0,0,0,0,0
8/1q2KR2/8/5B1Q/3r4/8/3b4/4k3 w - - 5 39,-20,-23,-11,-19,-23,-19,-29,-19
2Q5/8/K4n2/8/5k2/8/7q/RN5r w - - 3 39,0,0,0,0,0,0,0,0
2N3b1/8/5R2/2k5/4Bn2/6K1/8/5r2 w - - 7 56,7,7,11,11,11,7,7,11
6k1/8/1B1R4/Q7/K1r1q3/4b3/8/8 w - - 0 64,-74,-75,-82,-62,0,0,-2,0
4RQ2/3q4/4b3/8/8/7r/4k3/K5B1 w - - 14 51,0,0,0,0,0,0,0,0
8/k7/1q6/rn6/8/4R3/N2Q4/7K w - - 2 66,0,0,-3,-11,-3,-15,-39,-9
7K/8/6r1/8/bB1R4/4R3/k4r2/8 w - - 8 60,-3,0,0,8,2,0,0,0
8/q7/5kN1/8/7K/7n/4NnQ1/8 w - - 3 38,0,0,0,0,0,0,0,0
1Q6/q1r2K2/8/8/1R6/6R1/8/r2k4 w - - 7 50,0,0,0,0,0,0,0,0
8/4B2R/8/8/8/brN5/3K4/k5n1 w - - 6 41,891,191,39,45,2871,914,189,49
1r1k4/8/1b2K3/8/R3N2n/8/8/B7 w - - 3 44,202,190,195,192,195,186,199,187
4k2B/8/8/1r2b3/n4K2/8/4N3/7R w - - 15 60,58,67,81,68,65,64,68,64
3r1q2/1Q6/7K/2k5/1R6/3r4/8/6R1 w - - 10 35,-31986,-31992,-31987,-31988,-3435,-31992,-31992,-31985
2B4r/8/8/2Q2R2/6b1/8/3K2k1/6q1 w - - 9 58,537,540,3129,565,591,614,630,585
3r4/1n6/N1R5/8/K3B3/8/k4b2/8 w - - 2 55,31992,31992,31992,818,31992,31992,31992,31992
8/1B4Q1/8/7k/1r2b3/5q2/7K/R7 w - - 3 50,360,839,366,374,3213,3187,365,918
7K/Q2N1r2/R7/2n5/8/8/5q2/1k6 w - - 9 65,330,320,309,331,329,324,333,318
8/5q2/8/5n2/3NQ2b/B5k1/8/4K3 w - - 10 55,3348,3279,3285,3240,3254,3206,3137,3144
6r1/5b2/8/bB5R/1k6/8/4B1K1/8 w - - 9 45,-163,-159,-166,-163,-164,-159,-162,-169
2N5/8/4rr2/4n2K/8/4R3/7R/3k4 w - - 8 37,-69,-60,-70,-73,-63,-66,-61,-69
1b6/2r3B1/3B3K/1b6/6R1/8/8/4k3 w - - 7 46,23,23,20,23,23,23,23,19
8/8/2Q3q1/1K6/4b2n/8/4N3/3B3k w - - 4 31,11,8,11,11,11,11,11,11
8/8/8/5K1n/3B1b2/8/4b1B1/3k2N1 w - - 2 32,5,0,7,7,11,7,11,7
2N5/8/7k/Q1n5/8/6R1/6K1/1rq5 w - - 2 49,-42,-43,-47,-42,-47,-43,-43,-46
8/3qr3/5Q2/8/4k1K1/8/5R1N/4n3 w - - 7 51,-3,0,0,0,0,0,0,0
2B1K1n1/1N2B3/8/7k/5b2/8/7b/8 w - - 15 56,0,0,0,0,0,0,0,0
8/4k2B/1N6/6b1/6Kb/6B1/4n3/8 w - - 5 36,8,7,11,7,11,7,11,11
5N2/8/1K6/2N3n1/4r3/8/3k4/R3n3 w - - 4 70,34,34,27,30,30,34,34,28
N6K/8/4N3/7k/n6b/8/1n6/7B w - - 3 37,0,0,0,0,0,0,0,0
8/2n5/1k2b1b1/4K3/8/2B2B2/8/7N w - - 2 63,3,0,3,7,5,0,3,3
5rK1/n1k3N1/4R3/8/8/8/1Q6/5q2 w - - 14 56,0,0,0,0,0,0,0,0
1b6/6Q1/8/n7/k7/8/K4qB1/1N6 w - - 4 40,0,0,0,0,0,0,0,0
2K3n1/4k3/6n1/R7/3N4/6N1/8/1r6 w - - 5 64,0,3,5,0,0,5,0,8
5K2/8/1k6/2r2n2/4R3/4N3/8/2n2N2 w - - 5 47,0,0,0,0,0,0,0,0
8/1B1N3b/7k/4B2n/8/1b5K/8/8 w - - 1 53,0,3,0,0,3,3,0,7
3K1k2/6r1/n7/3n4/6N1/8/6R1/4N3 w - - 4 46,0,0,0,0,0,0,0,0
8/8/3K2B1/1r5R/k4N2/8/n7/3b4 w - - 7 56,12,4,7,8,4,0,5,4
N2kn3/6n1/6K1/N6B/8/8/8/6b1 w - - 8 33,0,0,0,0,0,0,0,0
8/8/B7/6K1/1bB5/8/4Q3/q5kb w - - 9 54,0,0,0,0,0,0,0,0
8/6R1/n7/7q/1KQ5/8/4N3/rk6 w - - 2 60,0,0,0,0,0,-10,0,0
8/2R5/8/n2r4/6b1/KN4k1/1B6/8 w - - 4 48,0,3,1,0,3,0,6,1
2Q5/8/7R/8/6N1/k2q2n1/1r6/4K3 w - - 12 48,0,0,0,0,0,0,0,0
1n2B3/6N1/1br5/8/3k4/R7/3K4/8 w - - 14 52,19,23,23,19,23,23,19,22
k7/8/2r5/7K/6n1/N7/R1N2n2/8 w - - 19 60,0,0,10,12,8,0,0,7
7r/8/8/3B4/2R5/3b2K1/2r3R1/4k3 w - - 9 36,54,49,53,54,54,50,54,53
8/1K5r/N7/q7/k7/8/8/2R3Qn w - - 14 50,44,29,47,42,55,23,45,28
5b2/3r4/4k3/K7/4B3/3R4/8/2b4B w - - 6 41,23,26,26,23,22,26,23,26
5k2/b7/4rB1R/5N2/2K5/8/6n1/8 w - - 5 38,13,13,11,0,13,0,11,11
1N3N1K/8/8/8/n7/6Q1/1n6/q1k5 w - - 13 43,11,0,0,0,0,0,0,0
8/6K1/B7/8/8/4k3/1Q3R2/3qr2b w - - 5 58,0,0,0,0,0,0,0,0
4r3/1K3R2/8/8/1N6/1n6/N2k4/n7 w - - 19 68,11,7,3,3,3,13,8,6
K6B/8/6R1/4N3/8/8/b1n5/2r4k w - - 11 52,7,6,0,3,0,3,3,0
4n3/2K5/7b/8/8/8/1Q1N4/B5kq w - - 16 51,0,0,0,0,0,0,0,0
5K2/3Bn2r/8/8/R7/6kN/1b6/8 w - - 12 45,0,0,0,0,0,0,0,0
8/3R1R2/4K3/8/8/8/2b1kB2/2r1r3 w - - 9 48,0,6,0,0,0,0,0,0
7n/1K4q1/Q7/8/2Nk4/8/5N2/2n5 w - - 4 42,0,0,0,0,0,0,0,0
4B3/8/8/2b5/8/1RB5/K3bk2/4r3 w - - 9 46,19,19,19,15,13,18,19,19
8/7b/1r6/k2K3B/8/8/4R3/B4b2 w - - 3 42,15,15,15,15,15,15,15,15
8/3B2b1/6B1/6K1/1r6/8/6R1/b2k4 w - - 10 61,34,26,28,21,17,16,31,17
3N4/8/R2Kb2r/8/8/B6n/8/5k2 w - - 13 62,3,3,0,3,0,0,3,0
5rB1/6R1/3r4/8/8/k7/2R2b2/4K3 w - - 14 57,46,42,50,50,50,45,47,50
7k/6q1/8/5nN1/2b5/6Q1/7K/4B3 w - - 4 59,0,68,35,3,7,40,0,0
2b3B1/8/8/4k1K1/B6Q/2q5/3b4/8 w - - 7 59,-3,0,0,0,0,-3,0,0
8/n6b/k7/8/8/3r4/6K1/1BR4N w - - 7 32,30,27,31,31,31,27,30,31
1Q6/K7/3n4/8/7N/8/3B1k1b/5q2 w - - 11 55,0,0,0,0,0,3,0,8
5b2/1R1B4/6k1/6b1/8/6r1/6B1/5K2 w - - 2 38,0,7,1,-3,-3,0,0,0
8/7B/8/4k3/K3rb1R/8/8/1b4B1 w - - 16 63,19,19,19,15,15,19,18,19
B7/2k5/7R/8/1r2R3/b7/2r3K1/8 w - - 13 50,0,0,0,0,0,0,0,0
6K1/8/7B/3n4/2qN3k/8/3Qb3/8 w - - 8 32,0,0,0,0,0,0,0,0
8/2B1n3/8/4r3/1K3k2/R7/8/2bN4 w - - 8 36,22,23,24,19,26,23,23,30
5k1b/8/6R1/B1K5/3q4/1Q6/7r/8 w - - 10 45,0,0,0,0,0,0,0,0
8/8/8/B7/3R4/8/2rRK1b1/k1r5 w - - 6 47,0,0,0,0,0,0,0,0
8/8/6R1/k5K1/3N4/6r1/1R6/2r2n2 w - - 4 54,0,0,0,0,0,0,0,0
2k5/4R3/n7/1r4K1/5R2/6N1/8/1r6 w - - 7 33,0,0,0,1,0,0,0,3
3Bbn1k/8/2K4N/8/4B3/b7/8/8 w - - 11 36,0,0,3,0,0,0,0,0
8/3K1b2/8/8/R7/6B1/4k1nN/4r3 w - - 5 34,27,27,22,26,27,30,31,20
6R1/1R6/6K1/1B5r/8/8/4b2r/3k4 w - - 11 60,0,0,0,0,0,0,0,0
5n2/4NB2/5B1K/8/8/4k3/8/4b1b1 w - - 14 56,0,3,0,0,0,0,0,0
1NKBn3/8/7b/8/2k3B1/4b3/8/8 w - - 2 46,0,0,0,0,0,0,3,0
2k5/1r5n/6K1/8/8/1n6/4N3/4N2R w - - 2 56,7,7,7,7,7,7,7,7
3R4/6NB/b2K4/8/6n1/8/r6k/8 w - - 10 55,0,0,0,0,0,0,0,0
3r4/3q1b2/4k3/8/8/2QK4/5B2/6R1 w - - 11 36,0,0,0,0,0,18,0,0
4r3/1k1b4/8/8/7R/K3n3/7N/6B1 w - - 4 68,0,-3,0,0,0,0,0,-3
2k1q3/3N4/3Q1K2/8/8/5n1b/8/B7 w - - 3 51,0,0,0,0,0,0,0,0
8/7r/4r3/R6b/8/K6k/1B6/5R2 w - - 0 50,24,17,31,39,20,46,21,47
8/4N1nk/2N5/2K5/3b4/8/2n5/5B2 w - - 13 55,14,15,15,11,11,11,11,11
1b6/3K2bB/2R2r2/8/8/3B4/8/7k w - - 6 67,34,35,34,31,31,31,39,30
2n5/n2B4/7k/8/8/3Nb3/N5K1/8 w - - 6 33,0,3,3,0,0,0,0,0
3r4/8/N1nn4/8/5K1k/1R1N4/8/8 w - - 5 34,0,-29,-31,-22,-18,-11,-12,-31
8/8/8/7N/2K4R/5q2/4k3/1r2n2Q w - - 7 49,24,0,22,27,7,36,0,0
6K1/8/1qkr4/1r5R/8/8/8/6QR w - - 0 36,0,0,0,0,0,0,0,0
8/2r1b3/4Kb2/8/8/k7/2B2R2/1B6 w - - 10 41,0,0,0,0,0,0,0,0
6KB/8/3Q4/8/q3b2k/6N1/6n1/8 w - - 12 50,0,0,0,0,0,0,0,0
bB6/5B2/b7/7Q/q7/8/8/K3k3 w - - 5 40,0,-11,-3,0,0,0,0,0
2b5/8/1Q6/3B4/r3R1K1/k7/7q/8 w - - 11 61,0,0,0,0,0,0,0,0
7R/3K1NB1/8/8/3r4/8/1b2k3/2n5 w - - 4 37,27,27,26,27,27,24,27,23
2r5/1r6/8/1K1RN3/8/1n4k1/8/5R2 w - - 15 53,0,0,0,0,0,0,0,0
1k4N1/7r/3K4/1q6/4R3/8/8/2Q2n2 w - - 14 49,0,0,0,0,0,0,0,0
8/1n4q1/k7/7b/4B3/8/K7/4Q2N w - - 7 48,0,0,0,0,0,0,0,0
k7/n3N3/3K4/1b6/8/b7/4B3/5B2 w - - 8 35,0,0,0,0,0,0,0,0
8/8/8/4n3/6k1/N1n5/b6K/6BN w - - 5 69,0,-6,-11,-7,-7,-7,0,-11
k2NQ3/8/8/2B5/8/1bn5/2q4K/8 w - - 8 66,0,0,-63,-3,0,0,0,0
5q2/K7/4B3/8/1n2b3/8/Q1N5/6k1 w - - 13 53,0,-5,-2,7,0,0,0,0
8/B7/4b1B1/K7/5b2/8/1k6/1Nn5 w - - 2 43,0,0,-2,0,0,0,0,0
3B4/4R3/r3b3/4k3/8/1K6/8/b6B w - - 2 38,-15,-11,-3,-6,0,-11,-12,-16
8/5R1B/4K2k/6r1/8/q7/1b2Q3/8 w - - 19 62,0,17,14,13,0,0,0,18
7K/8/4R3/5r2/8/1R6/1br5/5k1B w - - 7 34,-27,-13,-18,-13,-26,-7,-13,-13
4B3/1K6/8/8/7B/b1q5/6Q1/kb6 w - - 3 50,-8,-8,0,-6,-12,-22,-18,0
2B5/B3N3/8/6K1/8/2k5/4n3/3bb3 w - - 3 45,0,0,0,3,0,0,3,0
R6N/2k5/K1n3r1/8/8/8/1Q6/6q1 w - - 1 47,81,36,0,26,0,0,0,19
7K/4R3/1r6/5B2/6Q1/8/1q6/1b5k w - - 12 51,0,0,0,0,0,0,0,0
5R2/r7/8/8/n7/6nk/1N6/3N2K1 w - - 3 45,33,27,37,25,32,40,37,44
8/8/1K4B1/3q3Q/8/b6B/8/2k4b w - - 5 30,0,0,0,0,0,0,0,0
4k3/8/3r4/8/4nq2/1N6/4R3/2KQ4 w - - 0 30,0,0,-3,0,0,0,0,0
6n1/1bN5/8/8/8/B7/2B1b1k1/K7 w - - 3 58,0,0,0,0,0,0,3,0
4B3/4K3/8/4k3/7q/1Q4b1/8/2B1b3 w - - 7 42,0,0,0,0,0,0,0,0
8/1B4k1/b1K5/8/r5n1/6N1/1R6/8 w - - 11 64,0,0,0,0,0,0,0,-3
n4kN1/6RK/2n5/8/8/8/8/1r4N1 w - - 1 33,0,0,0,0,0,0,0,0
7n/8/6nR/KN6/4rk2/8/N7/8 w - - 9 44,7,7,21,3,4,8,10,11
7R/7B/4b2B/6r1/1k6/6K1/8/2b5 w - - 8 32,22,16,19,23,19,15,22,22
1K1n4/8/4bN1B/2r5/8/4R3/7k/8 w - - 9 32,6,0,11,0,4,0,0,8
1R6/2N5/5r2/1K1N1n2/3k2n1/8/8/8 w - - 7 50,31,31,29,26,26,28,27,26
8/3B4/8/1R1K4/b4b2/5B2/3k4/3r4 w - - 8 62,14,11,11,11,14,11,11,11
N3n2r/4R3/8/k7/8/5K2/8/b4B2 w - - 5 45,54,55,65,63,60,62,54,60
7b/3n4/8/5k2/8/R5B1/K7/rN6 w - - 5 31,-56,-65,-64,-72,-75,-65,-52,-72
3nk3/6r1/8/6b1/7K/4B3/3R4/5N2 w - - 16 52,53,60,62,60,56,61,50,64
K1k5/7N/7n/8/8/2n5/1N1R4/2r5 w - - 8 51,-212,-208,-204,-208,-204,-209,-201,-203
8/8/1k6/5R2/5Q2/1rn5/5K2/3q1N2 w - - 11 42,3182,542,631,321,570,835,636,969
8/6KR/k2r4/8/4Q1B1/b7/1q6/8 w - - 6 40,-162,-152,-159,-124,-158,-116,-177,-144
2Q5/8/r3r3/3q4/5k2/K3R1R1/8/8 w - - 14 45,-2766,-2838,-2749,-968,-2760,-2755,-964,-2765
3k4/4n3/8/1N6/1K6/4R3/5B2/r6b w - - 3 68,74,79,79,72,78,74,71,71
7b/n7/5r2/6K1/8/N2B3k/8/6R1 w - - 1 51,84,81,62,78,83,86,78,63
5Q1K/2k5/1q2r3/4r3/7R/6R1/8/8 w - - 2 38,2828,2752,2866,2909,974,2898,3080,2856
8/8/7N/6N1/8/Q3n3/2k3K1/4qn2 w - - 15 53,-589,-595,-552,-500,-600,-556,-608,-464
8/5Q2/1q1r2B1/7R/8/3b4/6K1/3k4 w - - 10 41,315,291,264,313,285,257,280,268
3k4/1b4B1/3B4/4R3/8/1r2b3/8/7K w - - 11 36,-67,-84,-82,-79,-79,-85,-70,-77
1bk1b3/K7/8/2n1B3/2N5/8/B7/8 w - - 1 47,50,50,50,46,50,50,49,53
n7/8/qn6/7k/8/4Q1K1/1N6/3N4 w - - 11 48,142,155,167,140,165,155,108,138
5N2/n3K3/1R6/4B3/k7/7b/8/2r5 w - - 14 55,53,44,62,57,58,43,49,57
8/2k3N1/B7/1n2r3/1K6/8/2b5/6R1 w - - 12 58,56,60,69,54,60,54,54,70
4b3/K4k1q/1Q5n/2N3B1/8/8/8/8 w - - 7 52,96,77,106,65,76,77,89,131
2K2Q2/7b/8/4B3/8/7q/1N6/k4n2 w - - 15 65,185,178,163,144,207,172,134,174
8/QN3k1B/8/3b2K1/1n6/8/8/3q4 w - - 14 57,87,130,122,141,116,85,185,77
6k1/8/q2b3n/4K3/4Q3/5NB1/8/8 w - - 2 38,-7,-7,-7,-7,-7,-7,-7,-7
2k2K2/8/7b/4Q3/4B3/2B1q3/3b4/8 w - - 12 46,-11,-11,-11,-11,-11,-11,-11,-11
1N3k2/K1n5/3b4/8/8/7B/3q4/6Q1 w - - 13 48,0,0,-3,0,-8,-14,-28,-4
2b5/8/5R2/3k1K2/3q4/8/3r4/2B1Q3 w - - 7 59,0,0,0,0,0,0,0,0
4k2B/8/8/bb6/3K4/2r2BR1/8/8 w - - 7 40,14,14,15,15,15,15,11,15
1kr2K2/8/5R2/8/6r1/7b/1B6/5R2 w - - 8 35,-34,-23,-26,-31,-30,-19,-38,-22
4B1k1/3K4/r5n1/8/2R5/6b1/3N4/8 w - - 6 38,0,0,7,0,0,0,0,3
8/8/B1Q5/8/8/6qk/8/KR2b1r1 w - - 9 51,0,0,0,0,0,0,0,0
8/3Qbq2/k7/8/6N1/7K/2B5/6n1 w - - 10 36,0,0,0,0,0,0,0,0
N3k3/8/1Q6/4K3/8/3q4/N3n3/1n6 w - - 21 67,0,0,0,0,0,0,0,0
8/8/8/5k2/4q3/8/1K3nr1/1R1Q1N2 w - - 9 34,-43,-39,-18,-17,-14,-47,-17,-20
8/1NR5/4k3/8/Q7/3r4/6qn/3K4 w - - 4 49,-34,-43,-42,-34,-37,-44,-39,-19
6k1/8/6Nr/5K2/N1n5/5R2/8/n7 w - - 16 55,0,0,0,0,0,4,0,0
4k3/8/8/1b6/2r5/1b6/3KB1R1/B7 w - - 4 43,26,26,27,27,26,27,26,30
n7/4K3/2b5/6k1/r7/3R4/2N5/4B3 w - - 16 66,21,4,8,15,9,12,12,13
n7/1n6/8/8/1r1k4/N5N1/2K4R/8 w - - 2 64,20,21,22,29,27,24,28,31
3Q4/8/1N4k1/8/1q6/8/1NK3n1/6n1 w - - 13 56,32,24,22,11,12,24,37,29
3K3b/b3B3/5r2/8/8/2R4B/7k/8 w - - 8 31,10,6,6,6,6,10,6,6
8/3q4/1k4r1/4R3/6r1/2Q5/3K4/4R3 w - - 9 36,0,0,0,0,0,0,0,0
8/8/5n2/2b3k1/Q7/3q2N1/7K/7B w - - 9 55,0,0,0,-11,-3,0,-7,0
7R/3q4/4r3/2k5/5BK1/8/8/Q3b3 w - - 10 40,0,0,0,0,0,0,0,0
K7/7b/7k/8/2r1B3/7b/2B5/1R6 w - - 1 35,51,62,59,50,50,57,62,58
8/2B5/7R/8/1bb1K2B/8/8/1r4k1 w - - 14 59,3,4,0,0,0,6,0,0
8/8/8/8/2K2k2/1R1B4/2b4r/1B1b4 w - - 6 45,0,0,0,0,0,0,0,0
1r6/1N6/4k3/2R5/8/r6n/1R4K1/8 w - - 8 39,16,4,31,24,16,25,7,26
2n5/8/2k5/1nbN4/8/3K4/6B1/2N5 w - - 15 61,38,35,42,38,39,42,38,42
3kr3/1Rb5/N1Bn4/8/8/K7/8/8 w - - 12 40,11,11,11,11,11,11,11,11
8/5RN1/1n5K/8/8/7N/4r3/1n5k w - - 4 49,46,46,39,45,45,45,45,39
